task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-38,completed,7,43.35,1209.04,11707.00,13925.00,724.20,2218.00,12715.96,10497.96,"rack-5-2,rack-5-3,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4"
task-55,completed,15,18.54,1314.91,6483.00,14700.00,1256.90,8217.00,13385.09,5168.09,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-5-0,rack-5-2,rack-5-3,rack-5-6"
task-25,completed,13,36.56,452.55,12541.00,14868.00,847.81,2327.00,14415.45,12088.45,"rack-2-4,rack-2-5,rack-3-2,rack-3-6,rack-5-1,rack-5-4,rack-5-5,rack-6-5,rack-7-0,rack-7-1,rack-7-2,rack-7-3,rack-7-5"
task-60,completed,4,56.61,1042.05,12345.00,14890.00,1029.72,2545.00,13847.95,11302.95,"rack-0-7,rack-1-4,rack-1-5,rack-3-3"
task-27,completed,9,46.58,528.30,13528.00,15333.00,618.91,1805.00,14804.70,12999.70,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-3-0,rack-3-1,rack-4-7,rack-5-6,rack-5-7"
task-22,completed,12,14.72,917.15,4394.00,15797.00,1795.59,11403.00,14879.85,3476.85,"rack-1-0,rack-1-1,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-3-3,rack-3-4,rack-3-5,rack-5-1,rack-5-6,rack-5-7"
task-87,completed,15,22.28,1568.38,10917.00,16211.00,1478.76,5294.00,14642.62,9348.62,"rack-1-7,rack-2-4,rack-2-5,rack-3-4,rack-3-5,rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-6-5,rack-7-1,rack-7-3,rack-7-4,rack-7-5,rack-7-6"
task-68,completed,10,37.48,1177.16,10874.00,16581.00,1777.15,5707.00,15403.84,9696.84,"rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-3-4"
task-53,completed,16,29.92,1624.40,11410.00,16736.00,1557.72,5326.00,15111.60,9785.60,"rack-0-0,rack-0-1,rack-1-6,rack-1-7,rack-3-0,rack-3-1,rack-3-5,rack-3-7,rack-4-3,rack-4-4,rack-4-5,rack-4-7,rack-5-0,rack-6-6,rack-6-7,rack-7-4"
task-17,completed,8,49.66,722.10,13593.00,17112.00,1451.03,3519.00,16389.90,12870.90,"rack-1-6,rack-2-6,rack-2-7,rack-3-7,rack-4-3,rack-4-4,rack-4-5,rack-6-6"
